WORDS,START,END,CONFIDENCE
ah,1.1,1.75,0.917493
well,1.76,2.32,0.187384
ai(2),4.68,5.79,1
how,9.74,11.15,1
i,13.39,13.65,0.922185
like,13.72,13.89,0.420841
a(2),13.9,14.05,0.536133
dinosaur,14.06,14.76,1.0001
sounds,15.96,16.2,0.261308
impossible,16.21,16.96,0.915477
but,17.11,17.65,0.449647
it's,18.61,18.75,0.58114
not,18.76,19.06,0.9999
and,20.02,20.16,0.083769
yes,20.17,20.45,0.022258
your(2),20.46,20.63,0.436269
allies(2),20.64,21.08,0.07352
on(2),21.09,21.2,0.984618
a,21.21,21.26,0.5341
formula,21.27,21.96,1.0001
that(2),22.19,22.32,0.340403
all,22.33,22.69,0.851446
going(2),22.7,23.08,0.737835
to(2),23.09,23.14,0.941664
colleges,23.15,23.63,1.0002
use(2),23.64,24.12,0.529102
i'm(2),24.74,24.94,0.651062
going(2),24.95,25.14,0.540602
to(2),25.15,25.22,0.342315
tell,25.23,25.43,0.923939
you,25.44,25.6,0.9996
the,25.61,25.7,0.102636
secret(2),25.71,26.13,0.068152
first,27.37,27.83,0.962805
bye,28.81,28.99,0.004199
roxanne,29,29.54,0.559973
right,29.55,29.73,0.686161
age,29.74,30.2,0.353059
second,31.25,31.7,0.859403
those,32.59,32.86,0.919146
rocks,32.87,33.23,0.996207
must,33.24,33.49,0.1894
be,33.5,33.78,0.925419
sanitary,33.84,34.61,0.048502
rocks,34.62,35.14,0.9999
and(2),35.9,36.11,0.31213
there,36.12,36.36,0.217018
are(2),36.37,36.64,0.103316
layers,37.22,37.69,0.908727
of,37.7,37.8,0.960593
those,37.81,38.04,0.9999
rocks,38.05,38.45,0.99551
must,38.46,38.68,0.463852
be,38.69,38.8,1.0001
naturally(2),38.81,39.32,0.715668
exposed,39.33,40.05,0.793242
at,40.78,40.91,0.114962
that(2),40.92,41.49,0.155951
final,41.93,42.29,0.402482
three,42.3,42.56,0.882396
things,42.57,43.09,0.9992
think,43.1,43.51,0.01067
it,43.52,43.66,0.385964
is,43.67,43.84,0.609597
on(2),43.85,44.1,0.667146
the,44.11,44.16,0.988565
ground,44.17,44.67,0.965698
chances(2),45.38,45.79,0.267924
are(2),45.8,45.87,0.833417
good,45.88,46.3,0.996207
but,46.31,46.43,0.227212
you'll,46.44,46.65,0.885224
